 0.00,  2.2188e-01, 1.5868e-01, 5.0000e-01
 0.25,  2.0301e-01, 1.5183e-01, 5.0000e-01
 0.50,  1.8412e-01, 1.4451e-01, 5.0000e-01
 0.75,  1.6574e-01, 1.3761e-01, 5.0000e-01
 1.00,  1.4563e-01, 1.3079e-01, 5.0000e-01
 1.25,  1.2764e-01, 1.2429e-01, 5.0000e-01
 1.50,  1.1008e-01, 1.1736e-01, 5.0000e-01
 1.75,  9.3316e-02, 1.1065e-01, 5.0000e-01
 2.00,  7.7814e-02, 1.0399e-01, 4.3242e-01
 2.25,  6.3585e-02, 9.7582e-02, 3.1790e-01
 2.50,  5.1954e-02, 9.1280e-02, 2.3026e-01
 2.75,  4.1032e-02, 8.5058e-02, 1.6426e-01
 3.00,  3.1944e-02, 7.8785e-02, 1.1538e-01
 3.25,  2.4647e-02, 7.2887e-02, 7.9792e-02
 3.50,  1.8516e-02, 6.7273e-02, 5.4322e-02
 3.75,  1.3728e-02, 6.1634e-02, 3.6409e-02
 4.00,  9.9707e-03, 5.6540e-02, 2.4031e-02
 4.25,  7.0996e-03, 5.1369e-02, 1.5624e-02
 4.50,  5.0120e-03, 4.6538e-02, 1.0013e-02
 4.75,  3.4362e-03, 4.2005e-02, 6.3284e-03
 5.00,  2.3559e-03, 3.7729e-02, 3.9478e-03
 5.25,  1.5735e-03, 3.3580e-02, 2.4326e-03
 5.50,  1.0142e-03, 2.9736e-02, 1.4816e-03
 5.75,  6.5122e-04, 2.6379e-02, 8.9249e-04
 6.00,  3.9987e-04, 2.3170e-02, 5.3186e-04
